Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	12.365193073	18.706317726	38.5	66.0
2	Spectrogram 1	1	53.899559550	60.557740435	40.6	64.4
3	Spectrogram 1	1	132.212449013	139.504742364	41.9	64.4
4	Spectrogram 1	1	178.819715211	183.258502468	46.1	62.8
5	Spectrogram 1	1	256.498492209	262.522560630	42.4	64.0
6	Spectrogram 1	1	295.179352592	301.520477245	43.1	64.5
7	Spectrogram 1	1	358.273542888	366.517004937	39.7	66.0
8	Spectrogram 1	1	430.562363931	437.854657282	38.5	64.4
9	Spectrogram 1	1	510.740659475	517.715896593	37.0	63.5
10	Spectrogram 1	1	548.787407392	554.494419580	36.7	63.9
11	Spectrogram 1	1	610.930428990	618.539778574	40.7	64.7
12	Spectrogram 1	1	655.001245328	661.659426214	39.2	64.5
13	Spectrogram 1	1	735.533528420	740.289371909	44.7	65.5
14	Spectrogram 1	1	771.360882708	777.384951129	43.4	64.5
15	Spectrogram 1	1	810.078573352	815.151473074	41.2	65.0
16	Spectrogram 1	1	849.710602432	855.417614620	41.7	65.0
17	Spectrogram 1	1	884.903844256	890.927912676	41.4	64.5
18	Spectrogram 1	1	1412.241930941	1417.314830664	39.4	64.4
19	Spectrogram 1	1	1442.679329275	1447.752228997	39.1	63.9
20	Spectrogram 1	1	1506.724688269	1513.699925387	39.6	64.7
21	Spectrogram 1	1	1539.381480232	1544.137323721	41.1	64.4
22	Spectrogram 1	1	1573.623553357	1579.013509312	40.6	64.5
23	Spectrogram 1	1	1616.109088532	1622.767269417	37.5	64.4
24	Spectrogram 1	1	1650.985274122	1657.643455008	40.4	64.5
25	Spectrogram 1	1	1694.421977995	1700.446046415	41.6	64.5
26	Spectrogram 1	1	1765.966015862	1772.624196748	40.2	64.4
27	Spectrogram 1	1	1798.622807824	1805.280988710	39.9	63.4
28	Spectrogram 1	1	1874.082191194	1879.472147149	39.4	64.5
29	Spectrogram 1	1	1953.663305588	1960.638542706	40.7	64.2
30	Spectrogram 1	1	1988.856547411	1995.831784529	39.2	64.9
31	Spectrogram 1	1	2099.737834226	2105.127790181	44.9	58.3
32	Spectrogram 1	1	2193.903535322	2198.025266346	49.3	64.7
33	Spectrogram 1	1	2260.168287944	2266.509412597	37.2	64.9
34	Spectrogram 1	1	2289.654517580	2295.678586001	38.4	65.0
35	Spectrogram 1	1	2394.445173847	2400.152186034	40.9	63.9
36	Spectrogram 1	1	2436.613652788	2442.954777441	43.9	64.2
37	Spectrogram 1	1	4334.438329743	4340.779454396	41.1	65.2
38	Spectrogram 1	1	4370.899796498	4376.923864918	41.7	65.2
39	Spectrogram 1	1	4444.773898704	4450.797967124	49.4	65.4
40	Spectrogram 1	1	4531.647306448	4537.988431101	42.7	64.9
41	Spectrogram 1	1	4676.357749928	4682.698874581	41.2	64.7
42	Spectrogram 1	1	4867.380058408	4872.452958130	40.1	64.0
43	Spectrogram 1	1	4907.329143721	4913.670268374	38.5	61.5
44	Spectrogram 1	1	4943.473554242	4951.717016291	38.2	66.7
45	Spectrogram 1	1	5358.079812726	5363.469768680	39.6	65.2
46	Spectrogram 1	1	5818.828935470	5823.267722727	43.9	61.8
47	Spectrogram 1	1	6495.382238317	6502.040419203	40.4	65.4
48	Spectrogram 1	1	6527.087861582	6533.428986234	37.0	65.5
49	Spectrogram 1	1	6590.182051878	6598.108457694	40.6	65.5
50	Spectrogram 1	1	6636.472261844	6642.179274031	44.2	64.9
51	Spectrogram 1	1	6678.006628320	6684.981865438	37.9	64.9
52	Spectrogram 1	1	6750.612505596	6757.587742714	40.9	67.0
53	Spectrogram 1	1	6797.219771794	6803.877952680	43.6	64.7
54	Spectrogram 1	1	6834.632407247	6840.973531899	38.7	65.9
55	Spectrogram 1	1	6912.156759847	6918.497884500	37.9	64.5
56	Spectrogram 1	1	7036.442803044	7041.515702766	33.4	61.8
57	Spectrogram 1	1	7099.219937108	7104.292836830	36.5	61.7
58	Spectrogram 1	1	7138.534909956	7143.924865910	40.1	64.9
59	Spectrogram 1	1	7180.069276432	7186.093344852	39.2	64.5
60	Spectrogram 1	1	7221.286586676	7226.042430165	57.3	66.4
61	Spectrogram 1	1	7330.339386395	7336.046398582	38.9	62.8
62	Spectrogram 1	1	7366.483796916	7372.190809104	37.7	61.5
63	Spectrogram 1	1	7437.187336796	7443.211405216	39.1	61.7
64	Spectrogram 1	1	7507.315715304	7514.608008655	38.0	64.7
65	Spectrogram 1	1	7578.019255184	7584.677436070	53.0	65.0
66	Spectrogram 1	1	10347.121424753	10351.877268243	33.7	61.2
67	Spectrogram 1	1	10646.267374183	10654.510836232	38.5	66.0
68	Spectrogram 1	1	10712.849183038	10718.873251459	38.7	63.2
69	Spectrogram 1	1	10783.552722918	10789.259735106	37.7	64.7
70	Spectrogram 1	1	10826.355314325	10831.745270280	34.0	62.8
71	Spectrogram 1	1	10863.450893544	10869.157905732	37.2	65.2
72	Spectrogram 1	1	10901.180585229	10906.887597417	38.5	62.0
73	Spectrogram 1	1	12182.190800126	12188.848981012	38.0	63.4
